URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,0.096,0.093,0.015872932,0.00029717,8.153846154,0.341194969,3.398016449,8.153846154,217,636,2.34591195,125,7.242138365
16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,0.142,0.013,0.832252695,0.000353075,16.88461538,0.366742597,6.900543193,16.88461538,161,439,2.298405467,63,7.159453303
17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.146,0.044,0.53683928,0.000186092,19.26415094,0.414299706,7.87138026,19.26415094,423,1021,2.485798237,122,7.705190989
18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.141,0.077,0.293576635,0.000350482,9.424242424,0.295819936,3.888024944,9.424242424,184,622,2.143086817,81,6.879421222
19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.076,0.035,0.369366042,0.000128028,12.94029851,0.404844291,5.338057119,12.94029851,351,867,2.489042676,119,7.761245675
20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.141,0.034,0.611425078,0.000230567,9.256097561,0.324110672,3.832083293,9.256097561,246,759,2.238471673,104,7.022397892
21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.143,0.047,0.505260499,0.000221187,12.63235294,0.36088475,5.197295076,12.63235294,310,859,2.292200233,104,7.365541327
22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.166,0.037,0.63546485,0.000343486,13.43181818,0.345177665,5.510798339,13.43181818,204,591,2.289340102,104,7.323181049
23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.104,0.026,0.599995385,0.000375723,8.43902439,0.312138728,3.500465247,8.43902439,108,346,2.251445087,35,7.104046243
24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.133,0.051,0.445649752,0.000262108,13,0.34045584,5.336182336,13,239,702,2.309116809,106,7.351851852
25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.157,0.063,0.427270785,0.000604396,13,0.252747253,5.301098901,13,92,364,2.035714286,53,6.837912088
26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.147,0.045,0.531247233,0.000193353,14.82089552,0.35347432,6.069747937,14.82089552,351,993,2.306143001,161,7.117824773
27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.115,0.096,0.090046967,0.000194112,12.49425287,0.352345906,5.138639512,12.49425287,383,1087,2.293468261,228,7.216191352
28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.13,0.046,0.477270016,0.000275,16,0.478125,6.59125,16,306,640,2.7625,132,8.4984375
29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.127,0.064,0.329841205,0.000294299,10.81666667,0.326656394,4.457329224,10.81666667,212,649,2.157164869,78,6.855161787
30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.141,0.034,0.611425078,0.000243056,21.81818182,0.369444444,8.875050505,21.81818182,266,720,2.480555556,102,7.7125
31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.172,0.025,0.746189106,0.000236211,16.68,0.360911271,6.816364508,16.68,301,834,2.327338129,127,7.342925659
32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.109,0.004,0.929195317,0.00042803,15.52941176,0.416666667,6.378431373,15.52941176,110,264,2.439393939,53,7.59469697
33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.148,0.054,0.465344231,0.000263021,109.7142857,0.31640625,44.01227679,109.7142857,243,768,2.19140625,118,6.9609375
34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.127,0.007,0.895515705,0.000132805,13.27631579,0.402378593,5.471477753,13.27631579,406,1009,2.417244797,189,7.592666006
35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.095,0.018,0.681409899,0.000194492,17.08823529,0.464716007,7.02118052,17.08823529,270,581,2.686746988,113,8.294320138
36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.103,0.035,0.492750053,0.000673171,34.16666667,0.419512195,13.83447154,34.16666667,86,205,2.614634146,43,7.863414634
37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.166,0.082,0.338708312,0.000421769,11.09433962,0.350340136,4.577871903,11.09433962,206,588,2.24829932,109,7.241496599
38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.072,0.105,-0.186439625,0.000261448,16.11904762,0.333825702,6.581149328,16.11904762,226,677,2.194977843,110,7.094534712
39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.072,0.023,0.515784044,0.000276163,14.95652174,0.340116279,6.118655207,14.95652174,117,344,2.197674419,47,6.877906977
40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.153,0.059,0.443394135,0.000250295,9.010638298,0.373081464,3.753487905,9.010638298,316,847,2.308146399,104,7.245572609
41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0.173,0.005,0.943814922,0.000549383,10.4516129,0.391975309,4.337435285,10.4516129,127,324,2.466049383,40,7.691358025
42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0.12,0,0.999991667,0.000606061,15.23076923,0.292929293,6.209479409,15.23076923,58,198,2.111111111,45,6.777777778
43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0.094,0.013,0.757002271,0.000138422,19.325,0.297542044,7.849016818,19.325,230,773,2.106080207,93,6.703751617
44,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0.175,0.014,0.851847345,0.000442623,22.47368421,0.463700234,9.174953778,22.47368421,198,427,2.639344262,52,7.957845433
45,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0.209,0.025,0.786321426,0.0015,6.782608696,0.384615385,2.866889632,6.782608696,60,156,2.58974359,22,8.012820513
46,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0.097,0.023,0.616661528,0.001363636,8.8,0.409090909,3.683636364,8.8,36,88,2.602272727,12,7.806818182
47,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,0.136,0.159,-0.077965837,0.000838068,6.4,0.28125,2.6725,6.4,99,352,2.036931818,74,6.633522727
48,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,0.263,0.022,0.845611068,0.003433735,10.375,0.253012048,4.251204819,10.375,21,83,2.108433735,11,6.734939759
49,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,0.132,0.035,0.580834845,0.000189342,14,0.451247166,5.780498866,14,398,882,2.660997732,143,8.106575964
50,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,0.098,0.205,-0.353134148,0.000707944,12.96969697,0.359813084,5.331804022,12.96969697,154,428,2.315420561,74,7.280373832
51,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,0.076,0.077,-0.006535905,0.000194656,10.91666667,0.307888041,4.489821883,10.91666667,242,786,2.180661578,135,6.93129771
52,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,0.049,0.047,0.020833116,0.000113475,16.92,0.437352246,6.942940898,16.92,370,846,2.470449173,168,7.822695035
53,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,0.115,0.044,0.446538072,0.00021371,17.30232558,0.311827957,7.045661415,17.30232558,232,744,2.137096774,102,6.830645161
54,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,0.104,0.052,0.333331197,0.000221591,10.05714286,0.306818182,4.145584416,10.05714286,216,704,2.109375,117,6.737215909
55,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,0.139,0.039,0.561794597,0.000507123,6.75,0.393162393,2.857264957,6.75,138,351,2.41025641,108,7.341880342
56,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,0.126,0.021,0.714280855,0.000283237,8.370967742,0.32177264,3.477096153,8.370967742,167,519,2.150289017,59,7.073217726
57,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,0.162,0.039,0.611937254,0.001135593,12.64285714,0.395480226,5.215334948,12.64285714,70,177,2.209039548,29,7.039548023
58,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,0.133,0.021,0.727268005,0.000181604,20.19047619,0.358490566,8.219586703,20.19047619,304,848,2.308962264,112,7.267688679
59,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,0.164,0.182,-0.052022971,0.000835749,5.914285714,0.306763285,2.4884196,5.914285714,127,414,2.164251208,91,7.096618357
60,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,0.152,0.064,0.407405521,0.00045666,8.298245614,0.276955603,3.430080487,8.298245614,131,473,2.080338266,69,6.843551797
61,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,0.126,0.14,-0.052631381,0.000360434,22.36363636,0.284552846,9.059275684,22.36363636,210,738,2.039295393,136,6.795392954
62,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,0.117,0.056,0.352599118,0.000193946,13.31343284,0.376681614,5.47604578,13.31343284,336,892,2.41367713,139,7.39573991
63,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,0.161,0.182,-0.061224311,0.000774266,6.152777778,0.309255079,2.584813143,6.152777778,137,443,2.180586907,95,7.130925508
64,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,0.122,0.079,0.213929284,0.000170339,18.15384615,0.322033898,7.390352021,18.15384615,380,1180,2.190677966,190,6.93559322
65,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,0.112,0.038,0.493330044,0.000243112,19.28125,0.299837925,7.83243517,19.28125,185,617,2.26904376,79,7.280388979
66,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,0.102,0.034,0.499996324,0.000157407,22.15384615,0.346064815,8.999964387,22.15384615,299,864,2.33912037,104,7.444444444
67,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,0.099,0.079,0.112358919,0.000132342,19.21428571,0.384386617,7.839468933,19.21428571,517,1345,2.476579926,322,7.811152416
68,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,0.092,0.057,0.234897752,7.45E-05,12.66455696,0.230384808,5.157976708,12.66455696,461,2001,1.954022989,243,6.586706647
69,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,0.066,0.037,0.281550665,0.000125763,13.65,0.338217338,5.595286935,13.65,277,819,2.280830281,139,7.275946276
70,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,0.073,0.059,0.106059803,0.000158654,17.70212766,0.405048077,7.242870295,17.70212766,337,832,2.408653846,128,7.463942308
71,https://insights.blackcoffer.com/human-rights-outlook/,0.086,0.014,0.7199928,0.001298701,19.25,0.38961039,7.855844156,19.25,30,77,2.402597403,9,7.61038961
72,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,0.146,0.007,0.908490794,0.000293666,13.025,0.257197697,5.312879079,13.025,134,521,1.965451056,114,6.740882917
73,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,0.094,0.048,0.323941381,0.000196133,6.961538462,0.424033149,2.954228644,6.961538462,307,724,2.412983425,106,7.51519337
74,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,0.17,0.015,0.837833309,0.000180841,14.61428571,0.377321603,5.996642927,14.61428571,386,1023,2.356793744,230,7.573802542
75,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,0.1,0.069,0.183430867,0.000314126,14.94444444,0.321561338,6.106402313,14.94444444,173,538,2.243494424,74,7.191449814
76,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,0.073,0.07,0.020978874,0.000128829,27.75,0.355855856,11.24234234,27.75,395,1110,2.304504505,177,7.195495495
77,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,0.099,0.111,-0.057142585,0.000391791,10.11320755,0.332089552,4.17811884,10.11320755,178,536,2.235074627,87,7.055970149
78,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,0.129,0.111,0.074999688,0.000464217,7.602941176,0.324951644,3.171157128,7.602941176,168,517,2.216634429,158,7.052224371
79,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,0.119,0.061,0.322220432,0.00036961,16.79310345,0.375770021,6.867549388,16.79310345,183,487,2.32238193,80,7.137577002
80,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,0.085,0.099,-0.076086543,0.000213457,27.80645161,0.385150812,11.27664097,27.80645161,332,862,2.467517401,118,7.734338747
81,https://insights.blackcoffer.com/travel-and-tourism-outlook/,0.116,0.015,0.770986481,0.001523256,17.2,0.337209302,7.014883721,17.2,29,86,2.197674419,9,7.127906977
82,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,0.097,0.137,-0.17093944,0.000447419,10.46,0.277246654,4.294898662,10.46,145,523,2.03250478,97,6.768642447
83,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,0.076,0.081,-0.031846931,0.000366822,22.52631579,0.317757009,9.13762912,22.52631579,136,428,2.207943925,70,7.135514019
84,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,0.075,0.152,-0.339205554,0.000398246,12.95454545,0.39122807,5.33830941,12.95454545,223,570,2.352631579,70,7.326315789
85,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,0.095,0.096,-0.005235575,0.00046247,15.88461538,0.280871671,6.466194822,15.88461538,116,413,2.113801453,86,6.898305085
86,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,0.117,0.015,0.772721419,0.000351064,25.06666667,0.45212766,10.20751773,25.06666667,170,376,2.425531915,62,7.521276596
87,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,0.134,0.032,0.61445413,0.000515528,14,0.239130435,5.695652174,14,77,322,1.944099379,66,6.465838509
88,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,0.092,0.117,-0.119616653,0.000352445,32.94444444,0.397976391,13.33696833,32.94444444,236,593,2.386172007,108,7.568296796
89,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,0.102,0.106,-0.019230677,0.000803089,16.1875,0.227799228,6.566119691,16.1875,59,259,1.876447876,80,6.239382239
90,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,0.039,0.125,-0.524387046,0.000300366,24.81818182,0.338827839,10.06280386,24.81818182,185,546,2.271062271,76,7.3003663
91,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,0.072,0.113,-0.221620424,0.000383023,12.38461538,0.380952381,5.106227106,12.38461538,184,483,2.393374741,110,7.625258799
92,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,0.1,0.109,-0.043061995,0.000393597,12.64285714,0.333333333,5.19047619,12.64285714,177,531,2.229755179,78,7.369114878
93,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,0.084,0.088,-0.023255679,0.000193694,15.57894737,0.311936937,6.356353722,15.57894737,277,888,2.203828829,132,6.833333333
94,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,0.122,0.101,0.094169981,0.000277019,13.19672131,0.311801242,5.403409021,13.19672131,251,805,2.183850932,93,7.120496894
95,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,0.085,0.056,0.2056723,0.000121134,18.47619048,0.317869416,7.517623957,18.47619048,370,1164,2.109965636,176,6.669243986
96,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,0.085,0.095,-0.055555247,0.000474934,42.11111111,0.18469657,16.91832307,42.11111111,70,379,1.749340369,88,5.796833773
97,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,0.092,0.132,-0.178570631,0.00019327,21.86792453,0.35202761,8.887980855,21.86792453,408,1159,2.27092321,194,7.406384814
98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,0.138,0.092,0.19999913,0.000409982,10.38888889,0.219251337,4.24325609,10.38888889,123,561,1.96969697,112,6.452762923
99,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,0.061,0.09,-0.192051708,0.000816216,20.55555556,0.410810811,8.386546547,20.55555556,76,185,2.475675676,38,7.518918919
100,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,0.079,0.135,-0.26168102,0.000174551,16.34666667,0.32137031,6.667214791,16.34666667,394,1226,2.121533442,120,6.889070147
101,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,0.137,0.114,0.091633101,0.000426871,10.5,0.256802721,4.302721088,10.5,151,588,1.977891156,168,6.450680272
102,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,0.092,0.112,-0.098038735,0.00024142,13,0.30887574,5.323550296,13,261,845,2.156213018,139,6.813017751
103,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,0.121,0.107,0.061403239,0.000263279,21.65,0.322170901,8.78886836,21.65,279,866,2.215935335,162,7.142032333
104,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,0.119,0.107,0.05309711,0.00011073,36.44642857,0.352278295,14.71948275,36.44642857,719,2041,2.156295933,276,6.901028907
105,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,0.099,0.032,0.511446478,0.000148695,15.18965517,0.405221339,6.237950605,15.18965517,357,881,2.36322361,100,7.36322361
106,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,0.058,0.102,-0.274998281,0.000390244,14.64285714,0.312195122,5.982020906,14.64285714,128,410,2.182926829,40,6.895121951
107,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,0.088,0.121,-0.157893981,0.000211325,16.21311475,0.346814965,6.623971887,16.21311475,343,989,2.333670374,169,7.282103134
108,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,0.155,0.055,0.476188209,0.000289655,11.328125,0.288275862,4.646560345,11.328125,209,725,2.157241379,126,7.111724138
109,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,0.024,0.047,-0.323939099,0.000115824,22.7037037,0.318107667,9.208724548,22.7037037,195,613,2.216965742,96,7.112561175
110,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,0.067,0.111,-0.247189623,0.000144715,136.6666667,0.323577236,54.79609756,136.6666667,398,1230,2.339837398,214,7.27804878
111,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,0.117,0.02,0.708024029,0.000141237,15.15625,0.351546392,6.203118557,15.15625,341,970,2.25257732,101,7.236082474
112,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,0.096,0.057,0.254900295,0.000225664,11.68965517,0.356932153,4.81863493,11.68965517,242,678,2.376106195,161,7.504424779
113,https://insights.blackcoffer.com/continued-demand-for-sustainability/,0.149,0.084,0.27896876,0.000299101,16.22916667,0.501925546,6.692436885,16.22916667,391,779,2.743260591,146,8.275994865
114,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,0.113,0.092,0.102438525,0.000891304,19.16666667,0.413043478,7.831884058,19.16666667,95,230,2.643478261,39,8.226086957
115,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,0.094,0.066,0.174998906,0.001212121,11,0.181818182,4.472727273,11,24,132,1.787878788,38,6.204545455
116,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,0.063,0.095,-0.202530364,0.000957576,15,0.36969697,6.147878788,15,61,165,2.412121212,16,7.351515152
117,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,0.021,0.066,-0.517235434,0.000564935,30.8,0.318181818,12.44727273,30.8,49,154,2.162337662,35,6.88961039
118,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,0.048,0.12,-0.428568878,0.001615385,26,0.5,10.6,26,52,104,2.480769231,24,7.663461538
119,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,0.196,0.051,0.587042158,0.000234123,11.85393258,0.451184834,4.922046967,11.85393258,476,1055,2.546919431,148,7.781042654
120,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,0.044,0.14,-0.521736295,0.000316151,14.55,0.305841924,5.94233677,14.55,178,582,2.10652921,76,6.656357388
121,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,0.087,0.127,-0.186915014,0.000313324,17.51282051,0.284040996,7.118744603,17.51282051,194,683,2.134699854,92,6.877013177
122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,0.086,0.069,0.109676712,0.000169956,16.28571429,0.377192982,6.665162907,16.28571429,344,912,2.342105263,172,7.24122807
123,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,0.111,0.085,0.132652384,0.000671233,10.81481481,0.339041096,4.461542364,10.81481481,99,292,2.321917808,65,7.078767123
124,https://insights.blackcoffer.com/ensuring-growth-through-insurance-technology/,0.089,0.027,0.534478151,0.000193012,19.38709677,0.366056572,7.901261339,19.38709677,220,601,2.194675541,76,6.820299501
125,https://insights.blackcoffer.com/blockchain-in-fintech/,0.07,0.047,0.196579516,0.00018542,17.52777778,0.340729002,7.147402712,17.52777778,215,631,2.315372425,93,7.540412044
126,https://insights.blackcoffer.com/blockchain-for-payments/,0.123,0.051,0.413790725,0.000369427,12.07692308,0.390658174,4.9870325,12.07692308,184,471,2.38641189,87,7.692144374
127,https://insights.blackcoffer.com/the-future-of-investing/,0.097,0.02,0.658114033,0.000104464,21.96078431,0.299107143,8.903956583,21.96078431,335,1120,2.105357143,168,6.9125
128,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,0.092,0.097,-0.026454886,0.000304348,10.01612903,0.375201288,4.156532128,10.01612903,233,621,2.280193237,76,7.09178744
129,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,0.166,0.004,0.952935571,0.000378619,22.45,0.496659243,9.178663697,22.45,223,449,2.661469933,48,8.20935412
130,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,0.188,0.085,0.377287995,0.00050838,8.661290323,0.344506518,3.602318736,8.661290323,185,537,2.309124767,74,7.186219739
131,https://insights.blackcoffer.com/obstacles-to-data-driven-healthcare/,0.09,0.085,0.028571265,0.000124026,17.20731707,0.304039688,7.004542705,17.20731707,429,1411,2.175761871,175,6.871013466
132,https://insights.blackcoffer.com/monetization-of-data-innovate-to-harvest-the-full-value-of-data/,0.194,0.02,0.813080313,0.000260658,15.78846154,0.451887942,6.496139792,15.78846154,371,821,2.740560292,145,8.071863581
